feature,label
"[-3.87253082e+02  1.52305252e+02 -3.64401932e+01  9.37446117e+00
 -2.60984459e+01  1.25325794e+01 -1.21464052e+01  1.52074614e+01
 -4.42596436e+00  6.06835365e+00 -1.04729061e+01  9.62845230e+00
 -4.87728548e+00  1.28551979e+01  2.79147267e-01  1.14435568e+01
  1.02940321e+00  6.65060806e+00 -2.97659278e+00  2.39923191e+00
 -2.49451256e+00  1.53113639e+00  9.57302630e-01  3.08089590e+00
 -1.10991120e-01  4.07274866e+00  1.90398037e+00  2.91539001e+00
  1.08778454e-01 -7.20862448e-02 -2.60929257e-01 -8.96720216e-02
 -1.82563663e+00 -9.24703062e-01 -4.88252372e-01  7.41242617e-02
 -5.46797037e-01 -6.76054299e-01  1.21498503e-01 -2.33566388e-01]",children_playing
"[-129.33742      20.626427    -41.50459      40.900517    -24.971449
   23.957008    -16.21413      14.826439    -17.103476     13.733951
   -5.671533     21.159199     -8.308074      3.7875998    -4.35298
    3.727564    -14.204141     -0.44033283   -6.106273     12.535195
  -14.097541     10.977567     -2.263438      8.385746     -9.014891
   -3.8070972    -1.8574141     3.244765     -6.587894      4.926197
   -1.8059243    -4.239978      2.049691     -0.3453161    -2.303602
   -1.6117318    -4.7731        3.8134913     1.7512171     3.0661917 ]",jackhammer
"[-239.40088      98.44949     -20.27414      11.886551    -13.373648
   19.792189    -14.595376     15.779621    -24.274422      1.1044604
  -11.700699      8.722709    -12.380828     16.450584     -7.697266
    5.816219     -4.6264987     2.818165     -3.0786655     5.8727355
   -1.3357404     5.8493285    -0.75146866    4.866973      0.30203295
   11.330323      3.8325043    10.508598     -4.2108054     2.8103445
   -5.915962      3.2179692    -2.874156     -3.3111942    -2.5347137
    2.2285597    -3.3153813     1.9838204    -4.6414247    -0.66210824]",engine_idling
"[-332.51434    174.57486     -8.768176    28.789892     8.770916
   20.882618     1.2184528   12.976675    -6.746939     5.8401403
  -10.310581     3.5695705   -6.711869     1.9392899   -4.3205066
    1.6063372   -5.846869    -2.3730829   -4.5775895   -1.1877035
   -5.4427633   -0.7593272   -2.3027203   -3.05751     -3.5323408
   -2.0328677   -2.4581077   -4.979082    -3.2578354   -4.082168
   -4.2321515   -6.348561    -2.244798    -3.0968049   -2.4730377
   -4.2031555   -2.1195774   -3.4738495   -1.5267776   -2.4793024]",air_conditioner
"[-86.89383     63.174873     3.8113277    9.597639    -2.9378858
  42.156685   -16.524925     7.886718    -5.6365185   16.30513
  -5.0895405   19.773159    13.671568     7.2487397  -25.538132
 -22.512062   -20.12633     12.668808    -6.3896585   -2.2054317
 -25.194305     5.4996324   10.087875    29.266907    13.648112
  12.973301    21.174828     8.853155     6.9007626   -1.842172
  -6.2297106   -4.878067     0.75272506   7.9443645   -3.2702389
  -2.847534    -3.5039978   -3.5209944   -7.030566   -14.867513  ]",car_horn
"[ 55.029873     0.8930446  -46.64139     -6.57201    -32.526333
  -2.1265044  -19.080652    10.284073    -7.957497     7.0303974
  -9.282562    12.764986    -6.637132     2.4496336  -10.470632
  10.306708     2.2018085    4.920461    -1.2262958   -1.3009381
   1.7764797    7.67678     -5.0923395    7.807854    -3.6466496
   6.10073      0.69326144   1.2731773   -3.474188     3.379923
   2.7558556    8.006786    -3.0737038    5.8648596   -2.286891
   2.7588117   -2.5654645    3.1853948   -1.1814992    0.6427822 ]",drilling
"[-274.60223     130.24431     -56.049473      6.0628047   -17.936577
   19.78697      -1.699422     12.384145     -3.2400844    25.624866
   23.04684      14.272835      1.2964159     6.3237324     0.8880527
   -3.0962288    -3.8987606    -6.4751296     1.4436538     5.2960515
    1.2468992    -1.0845244    -1.5662168     4.8920197     4.038214
   -7.092201      0.30981284    9.452857      4.6222296    -3.3259394
   -2.246138      1.650531     -2.4036663    -7.3821583    -3.7933137
   -0.8248497     2.046282      5.404334      4.644177      7.3917723 ]",siren
"[-2.4880171e+01  1.4753938e+02 -4.8310833e+01  7.0821066e+00
 -2.4019402e+01  5.4885292e+00 -2.0418873e+01  2.7010090e+00
 -2.1433445e+01  5.2687774e+00 -1.6986828e+01  4.2179589e+00
 -1.1937852e+01  4.3735604e+00 -1.1207477e+01  6.7371163e+00
 -9.9166050e+00  5.3585429e+00 -6.9893184e+00  4.3003259e+00
 -3.8757071e+00  2.3116984e+00 -5.9954181e+00  2.0843017e+00
 -4.2802992e+00  1.8800031e+00 -1.4720519e+00  2.0322506e+00
 -1.8858303e+00  1.3812793e+00 -3.0574203e+00 -4.4740406e-01
 -2.3836017e+00  7.7182078e-01 -1.8795521e+00  1.4273866e+00
 -1.3375406e+00  1.4208074e-01 -2.1620121e+00  2.3828205e-01]",gun_shot
"[-238.96156     112.16091     -42.009457    -16.026413    -39.281612
    5.417439    -43.919216     -7.721471    -14.406549    -12.592504
  -20.328213      3.7249463   -18.676426     -8.998568    -13.380391
   -2.2637067    -6.228944      0.9949959   -11.164455     -3.7345042
   -6.287801     -0.9665401    -4.11398      -0.34845594   -6.29485
   -4.2203937    -3.9869504    -0.3413639    -1.1059837    -0.9908022
   -1.9975332     1.2922276    -2.1541433    -0.7306848    -3.0135822
   -1.4430802    -2.0890613    -4.3040752    -0.25249898   -2.426173  ]",children_playing
"[-248.47476     127.949104    -50.07161      36.06603     -14.556539
   22.940542    -14.5976925    -4.504905     -4.6247954     6.3333254
  -23.106703     15.700766     -5.858509     -1.4362955    -7.4677916
    6.539427     -9.200228     -3.5789382    -0.6387396    -0.68674016
  -10.438101     -1.329858     -0.49012214   -1.860939     -3.9208632
   -1.940476     -1.5301993    -5.0596766    -3.3072317    -1.4266526
   -4.999029     -1.842416     -4.2268963    -1.7307507    -5.3389935
   -1.8203028    -3.744281     -3.3805873    -4.842289     -2.5021067 ]",children_playing
"[-87.68257     91.7983      15.706259    19.526207   -22.870693
  14.977352   -24.075401    15.655355   -18.827631    10.4962015
 -22.710443     8.523404   -11.322229     5.9578495   -8.771744
   3.0568264   -5.980196     1.0716614  -13.665266     7.7358875
 -13.989693     5.4430203  -10.04651      3.2705722   -7.255023
   0.16401695  -6.294567    -4.0699606   -3.8107984   -3.0217798
  -1.1295414    1.1696838   -2.4206924   -0.22223438  -5.5766335
   0.1778813   -3.0206065    1.0340282   -1.0496604   -0.40982327]",drilling
"[-3.1779339e+01  1.5515485e+02 -4.8935989e+01  1.0707116e+01
 -3.1885588e+01 -1.7174194e+00 -2.5025776e+01  5.1480174e+00
 -1.9299631e+01  6.2672007e-01 -1.8239323e+01  2.4577060e+00
 -1.0425113e+01  1.8416705e+00 -1.1548126e+01  3.6130857e+00
 -5.9681873e+00  3.3863611e+00 -5.4030151e+00  2.0567808e+00
 -4.8100724e+00 -6.9425774e-01 -4.2450528e+00  9.4785672e-01
 -3.3991835e+00  3.5555422e-01 -1.3736473e+00  2.8757042e-01
 -2.1259501e+00 -2.2651631e-01 -1.3601528e+00 -2.8997654e-01
 -8.7190789e-01  6.6288970e-02 -1.5942949e+00 -1.1098017e-01
  1.1190193e-01 -6.0071915e-02 -3.3285084e-01  3.6452733e-02]",gun_shot
"[-118.85546     151.42941     -37.549747      8.820522      3.635507
   20.619045    -13.473898     16.52967     -13.689761     10.8088455
   -2.581757     13.059343     -3.2044532     6.0047064    -5.975652
   12.8507        0.19579656    3.6570086   -10.777        -8.115642
    2.0079324    18.58696       5.014264     -6.8376293    -5.6602497
    4.1190643    -3.670679     -8.420829      4.993863     12.168742
   -0.72983855   -2.5294082     0.7781938     3.1229608     4.2792935
    1.1554447    -2.1449578     0.9454254     1.0659225    -6.457524  ]",siren
"[-3.1288480e+02  2.0164882e+02 -3.2899811e+01  2.6912079e+01
  2.3938955e+01  5.5387658e-01  1.7620279e+01  1.5128838e+01
  2.6040027e+00  1.4471677e-01  1.0717568e+01  6.6850195e+00
  2.0534587e+00  4.8513746e+00  6.3231845e+00  1.4133871e+00
 -2.2609677e-02  5.3339043e+00  2.5404689e-01  3.7373374e+00
  9.4710627e+00  2.1801078e+00  2.0442827e+00  7.4664121e+00
  4.2969136e+00 -1.7143203e+00  3.7216399e+00  7.1950345e+00
 -3.2809207e+00 -5.1491385e+00  3.4513669e+00  3.8156934e+00
 -5.2133977e-01  3.9787777e-02 -1.9707123e+00 -1.9902490e+00
  2.9235933e+00  3.1644764e+00  4.7570877e+00  4.3220439e+00]",car_horn
"[-33.238678    53.984318   -45.328712     3.4046323  -26.42161
   0.58624667  -9.002729     9.56657    -22.3247       2.5590777
 -22.297386     5.4011593  -16.985552     3.570898    -8.890101
  11.2816     -10.981094     4.9619327  -10.695203     4.5395584
  -2.1993127    6.600429   -11.856819     0.7673288   -5.7253747
   8.087534     0.6319405    6.5236797   -2.0764585   -0.8245105
  -3.9018314    6.6583247   -0.7646624   -0.3226127   -5.3690286
   1.0787834   -0.4059542    0.7214446   -5.043669    -2.2742095 ]",drilling
"[-116.98183     128.03249     -87.5024       21.093147     -9.554675
   -1.3743383    -7.7587566    17.42364     -16.417627      3.6254756
   -6.391305      7.334168     -5.4882793    12.650831     -2.6818185
    7.1616015    -2.130649     10.9798355     3.7305048     1.8510416
    2.5419738     3.5888658     3.0311365     2.1679487    -1.4835978
    2.0317566    -5.674434     -5.5502887    -4.8149767    -5.1272726
    2.3843815     3.1112437     3.9004457     6.7616        3.2685657
   -2.0065742    -1.0329697    -2.020705      0.130519     -0.22598773]",street_music
"[-1.52875042e+01  8.74933243e+01 -2.81158161e+01  1.26956825e+01
  2.41934851e-01  2.06556339e+01 -1.28246069e+01  1.70836220e+01
 -1.26864262e+01  2.50300369e+01 -1.45571146e+01  7.51212502e+00
 -1.30852995e+01  6.30031204e+00 -4.61540318e+00  9.27676201e+00
 -1.13069801e+01  6.67248678e+00 -9.48517895e+00  5.36811686e+00
 -7.92958307e+00  3.56486440e+00 -1.03223190e+01  7.41538703e-01
 -4.18919134e+00 -3.41817588e-01 -4.96167040e+00 -2.44149947e+00
 -7.51828861e+00  5.47587648e-02 -4.63178062e+00 -1.79145324e+00
 -4.24784946e+00  1.52742100e+00 -3.80018353e+00 -1.76154113e+00
 -4.48181200e+00 -9.61884618e-01 -4.69461203e+00  2.35310459e+00]",jackhammer
